Model,MAE,RMSE,R2
Ridge,1713.9026563522361,2566.989817056062,0.9896211865408504
Lasso,1924.8430384211713,2553.5878309322275,0.9897292770430574
LinearRegression,1946.3762850745204,2576.227568833403,0.9895463522609835
RandomForest,2079.9644199999957,4375.769086432855,0.9698416063141515
GradientBoosting,2148.6431270477674,4229.816791784796,0.9718199000910394
